tenant_id,forecast_day,forecast_date,predicted_balance,confidence_lower,confidence_upper,risk_flag
demo_business_001,1,2026-08-20,46504.36,45256.73,47751.98,False
demo_business_001,2,2026-08-21,47872.51,46108.1,49636.91,False
demo_business_001,3,2026-08-22,45541.92,43380.98,47702.87,False
demo_business_001,4,2026-08-23,46876.07,44380.82,49371.32,False
demo_business_001,5,2026-08-24,48036.26,45246.49,50826.03,False
demo_business_001,6,2026-08-25,46280.45,43224.41,49336.49,False
demo_business_001,7,2026-08-26,47580.57,44279.67,50881.47,False
demo_business_001,8,2026-08-27,48853.31,45324.5,52382.12,False
demo_business_001,9,2026-08-28,50150.8,46407.93,53893.67,False
demo_business_001,10,2026-08-29,51446.86,47501.53,55392.19,False
demo_business_001,11,2026-08-30,52808.09,48670.19,56945.99,False
demo_business_001,12,2026-08-31,53919.98,49598.08,58241.87,False
demo_business_001,13,2026-09-01,51246.8,46748.43,55745.17,False
demo_business_001,14,2026-09-02,52261.76,47593.58,56929.94,False
demo_business_001,15,2026-09-03,53391.96,48559.94,58223.99,False
demo_business_001,16,2026-09-04,54590.7,49600.21,59581.19,False
demo_business_001,17,2026-09-05,51927.86,46783.78,57071.94,False
demo_business_001,18,2026-09-06,53058.58,47765.36,58351.8,False
demo_business_001,19,2026-09-07,54191.8,48753.54,59630.06,False
demo_business_001,20,2026-09-08,52224.83,46645.29,57804.37,False
demo_business_001,21,2026-09-09,53283.55,47566.23,59000.88,False
demo_business_001,22,2026-09-10,54455.82,48603.95,60307.69,False
demo_business_001,23,2026-09-11,55695.45,49712.06,61678.84,False
demo_business_001,24,2026-09-12,56860.47,50748.38,62972.55,False
demo_business_001,25,2026-09-13,58089.9,51851.78,64328.02,False
demo_business_001,26,2026-09-14,59261.57,52899.91,65623.22,False
demo_business_001,27,2026-09-15,57907.1,51424.26,64389.94,False
demo_business_001,28,2026-09-16,59000.36,52398.56,65602.16,False
demo_business_001,29,2026-09-17,60149.58,53430.92,66868.24,False
demo_business_001,30,2026-09-18,61328.73,54495.21,68162.24,False
demo_business_001,31,2026-09-19,58526.11,51579.64,65472.59,False
demo_business_001,32,2026-09-20,59660.34,52602.72,66717.96,False
demo_business_001,33,2026-09-21,60767.64,53600.59,67934.69,False
demo_business_001,34,2026-09-22,58772.22,51497.39,66047.05,False
demo_business_001,35,2026-09-23,59881.61,52500.57,67262.64,False
demo_business_001,36,2026-09-24,61031.2,53545.46,68516.94,False
demo_business_001,37,2026-09-25,62247.15,54658.15,69836.15,False
demo_business_001,38,2026-09-26,63424.58,55733.72,71115.45,False
demo_business_001,39,2026-09-27,64600.3,56808.9,72391.71,False
demo_business_001,40,2026-09-28,65718.25,57827.59,73608.92,False
demo_business_001,41,2026-09-29,64095.05,56106.37,72083.74,False
demo_business_001,42,2026-09-30,65167.64,57082.12,73253.16,False
demo_business_001,43,2026-10-01,62169.66,53988.45,70350.88,False
demo_business_001,44,2026-10-02,63233.35,54957.55,71509.14,False
demo_business_001,45,2026-10-03,60341.99,51972.68,68711.31,False
demo_business_001,46,2026-10-04,61641.61,53179.81,70103.4,False
demo_business_001,47,2026-10-05,62968.9,54415.62,71522.17,False
demo_business_001,48,2026-10-06,61001.69,52357.91,69645.48,False
demo_business_001,49,2026-10-07,62289.21,53555.85,71022.58,False
demo_business_001,50,2026-10-08,63813.03,54991.0,72635.06,False
demo_business_001,51,2026-10-09,64968.04,56058.22,73877.85,False
demo_business_001,52,2026-10-10,65335.57,56338.83,74332.31,False
demo_business_001,53,2026-10-11,66459.33,57376.49,75542.16,False
demo_business_001,54,2026-10-12,67608.94,58440.82,76777.06,False
demo_business_001,55,2026-10-13,65796.63,56544.01,75049.25,False
demo_business_001,56,2026-10-14,67097.17,57760.81,76433.53,False
demo_business_001,57,2026-10-15,66525.58,57106.23,75944.93,False
demo_business_001,58,2026-10-16,67748.34,58246.72,77249.96,False
demo_business_001,59,2026-10-17,65114.14,55530.97,74697.32,False
demo_business_001,60,2026-10-18,66383.64,56719.6,76047.69,False
demo_business_001,61,2026-10-19,67735.44,57991.19,77479.69,False
demo_business_001,62,2026-10-20,66117.97,56294.17,75941.77,False
demo_business_001,63,2026-10-21,67452.59,57549.88,77355.29,False
demo_business_001,64,2026-10-22,68704.62,58723.64,78685.61,False
demo_business_001,65,2026-10-23,69989.33,59930.67,80047.99,False
demo_business_001,66,2026-10-24,70971.37,60835.63,81107.11,False
demo_business_001,67,2026-10-25,72292.1,62079.86,82504.34,False
demo_business_001,68,2026-10-26,73555.06,63266.89,83843.22,False
demo_business_001,69,2026-10-27,71850.09,61486.56,82213.63,False
demo_business_001,70,2026-10-28,73148.64,62710.27,83587.0,False
demo_business_001,71,2026-10-29,72316.83,61804.17,82829.49,False
demo_business_001,72,2026-10-30,73540.97,62954.53,84127.4,False
demo_business_001,73,2026-10-31,70879.44,60219.74,81539.13,False
demo_business_001,74,2026-11-01,67963.22,57230.76,78695.68,False
demo_business_001,75,2026-11-02,68750.57,57945.83,79555.3,False
demo_business_001,76,2026-11-03,66581.39,55704.87,77457.92,False
demo_business_001,77,2026-11-04,68068.72,57120.87,79016.57,False
demo_business_001,78,2026-11-05,69479.15,58460.44,80497.86,False
demo_business_001,79,2026-11-06,70794.55,59705.43,81883.67,False
demo_business_001,80,2026-11-07,72059.45,60900.36,83218.53,False
demo_business_001,81,2026-11-08,73576.85,62348.24,84805.46,False
demo_business_001,82,2026-11-09,74792.47,63494.76,86090.18,False
demo_business_001,83,2026-11-10,73214.64,61848.25,84581.03,False
