tenant_id,ledger_id,entry_date,flow_type,category,amount,description,customer_id
demo_business_001,L0000001,2024-08-20,inflow,retail_sales,530.8,Daily retail sales receipts,
demo_business_001,L0000002,2024-08-21,inflow,retail_sales,409.65,Daily retail sales receipts,
demo_business_001,L0000003,2024-08-22,inflow,retail_sales,365.15,Daily retail sales receipts,
demo_business_001,L0000004,2024-08-23,inflow,retail_sales,613.7,Daily retail sales receipts,
demo_business_001,L0000005,2024-08-24,inflow,retail_sales,690.05,Daily retail sales receipts,
demo_business_001,L0001010,2024-08-24,outflow,payroll,3803.75,Biweekly payroll,
demo_business_001,L0000006,2024-08-25,inflow,retail_sales,559.8,Daily retail sales receipts,
demo_business_001,L0000007,2024-08-26,inflow,retail_sales,405.4,Daily retail sales receipts,
demo_business_001,L0000885,2024-08-27,outflow,inventory_restock,2689.84,Routine inventory / COGS restock,
demo_business_001,L0000008,2024-08-27,inflow,retail_sales,448.85,Daily retail sales receipts,
demo_business_001,L0000009,2024-08-28,inflow,retail_sales,487.7,Daily retail sales receipts,
demo_business_001,L0000010,2024-08-29,inflow,retail_sales,602.3,Daily retail sales receipts,
demo_business_001,L0000011,2024-08-30,inflow,retail_sales,653.75,Daily retail sales receipts,
demo_business_001,L0000012,2024-08-31,inflow,retail_sales,668.0,Daily retail sales receipts,
demo_business_001,L0000013,2024-09-01,inflow,retail_sales,739.25,Daily retail sales receipts,
demo_business_001,L0000940,2024-09-01,outflow,loan_payment,650.0,Equipment loan installment,
demo_business_001,L0000939,2024-09-01,outflow,utilities,380.0,Monthly utilities,
demo_business_001,L0000938,2024-09-01,outflow,rent,3200.0,Monthly rent,
demo_business_001,L0000014,2024-09-02,inflow,retail_sales,361.9,Daily retail sales receipts,
demo_business_001,L0000015,2024-09-03,inflow,retail_sales,393.6,Daily retail sales receipts,
demo_business_001,L0000016,2024-09-04,inflow,retail_sales,442.1,Daily retail sales receipts,
demo_business_001,L0000017,2024-09-05,inflow,retail_sales,514.35,Daily retail sales receipts,
demo_business_001,L0000018,2024-09-06,inflow,retail_sales,473.8,Daily retail sales receipts,
demo_business_001,L0000019,2024-09-07,inflow,retail_sales,655.65,Daily retail sales receipts,
demo_business_001,L0001011,2024-09-07,outflow,payroll,3816.89,Biweekly payroll,
demo_business_001,L0000020,2024-09-08,inflow,retail_sales,735.35,Daily retail sales receipts,
demo_business_001,L0000021,2024-09-09,inflow,retail_sales,412.9,Daily retail sales receipts,
demo_business_001,L0000022,2024-09-10,inflow,retail_sales,584.5,Daily retail sales receipts,
demo_business_001,L0000886,2024-09-10,outflow,inventory_restock,2633.65,Routine inventory / COGS restock,
demo_business_001,L0000023,2024-09-11,inflow,retail_sales,404.4,Daily retail sales receipts,
demo_business_001,L0000024,2024-09-12,inflow,retail_sales,578.8,Daily retail sales receipts,
demo_business_001,L0000025,2024-09-13,inflow,retail_sales,625.5,Daily retail sales receipts,
demo_business_001,L0000026,2024-09-14,inflow,retail_sales,571.05,Daily retail sales receipts,
demo_business_001,L0000027,2024-09-15,inflow,retail_sales,632.15,Daily retail sales receipts,
demo_business_001,L0000028,2024-09-16,inflow,retail_sales,505.55,Daily retail sales receipts,
demo_business_001,L0000029,2024-09-17,inflow,retail_sales,402.45,Daily retail sales receipts,
demo_business_001,L0000030,2024-09-18,inflow,retail_sales,397.1,Daily retail sales receipts,
demo_business_001,L0000031,2024-09-19,inflow,retail_sales,358.15,Daily retail sales receipts,
demo_business_001,L0000032,2024-09-20,inflow,retail_sales,663.05,Daily retail sales receipts,
demo_business_001,L0000033,2024-09-21,inflow,retail_sales,608.45,Daily retail sales receipts,
demo_business_001,L0001012,2024-09-21,outflow,payroll,3830.02,Biweekly payroll,
demo_business_001,L0000034,2024-09-22,inflow,retail_sales,588.0,Daily retail sales receipts,
demo_business_001,L0000035,2024-09-23,inflow,retail_sales,429.7,Daily retail sales receipts,
demo_business_001,L0000036,2024-09-24,inflow,retail_sales,474.95,Daily retail sales receipts,
demo_business_001,L0000887,2024-09-24,outflow,inventory_restock,2604.37,Routine inventory / COGS restock,
demo_business_001,L0000037,2024-09-25,inflow,retail_sales,429.6,Daily retail sales receipts,
demo_business_001,L0000038,2024-09-26,inflow,retail_sales,476.6,Daily retail sales receipts,
demo_business_001,L0000039,2024-09-27,inflow,retail_sales,577.65,Daily retail sales receipts,
demo_business_001,L0000040,2024-09-28,inflow,retail_sales,876.5,Daily retail sales receipts,
demo_business_001,L0000041,2024-09-29,inflow,retail_sales,535.7,Daily retail sales receipts,
demo_business_001,L0000042,2024-09-30,inflow,retail_sales,479.15,Daily retail sales receipts,
demo_business_001,L0000943,2024-10-01,outflow,loan_payment,650.0,Equipment loan installment,
demo_business_001,L0000942,2024-10-01,outflow,utilities,380.0,Monthly utilities,
demo_business_001,L0000941,2024-10-01,outflow,rent,3200.0,Monthly rent,
demo_business_001,L0000043,2024-10-01,inflow,retail_sales,516.45,Daily retail sales receipts,
demo_business_001,L0000044,2024-10-02,inflow,retail_sales,467.95,Daily retail sales receipts,
demo_business_001,L0000045,2024-10-03,inflow,retail_sales,359.6,Daily retail sales receipts,
