tenant_id,position_date,opening_balance,total_inflows,total_outflows,closing_balance
demo_business_001,2024-08-20,23000.0,530.8,0.0,23530.8
demo_business_001,2024-08-21,23530.8,409.65,0.0,23940.45
demo_business_001,2024-08-22,23940.45,365.15,0.0,24305.6
demo_business_001,2024-08-23,24305.6,613.7,0.0,24919.3
demo_business_001,2024-08-24,24919.3,690.05,3803.75,21805.6
demo_business_001,2024-08-25,21805.6,559.8,0.0,22365.4
demo_business_001,2024-08-26,22365.4,405.4,0.0,22770.8
demo_business_001,2024-08-27,22770.8,448.85,2689.84,20529.81
demo_business_001,2024-08-28,20529.81,487.7,0.0,21017.51
demo_business_001,2024-08-29,21017.51,602.3,0.0,21619.81
demo_business_001,2024-08-30,21619.81,653.75,0.0,22273.56
demo_business_001,2024-08-31,22273.56,668.0,0.0,22941.56
demo_business_001,2024-09-01,22941.56,739.25,4230.0,19450.81
demo_business_001,2024-09-02,19450.81,361.9,0.0,19812.71
demo_business_001,2024-09-03,19812.71,393.6,0.0,20206.31
demo_business_001,2024-09-04,20206.31,442.1,0.0,20648.41
demo_business_001,2024-09-05,20648.41,514.35,0.0,21162.76
demo_business_001,2024-09-06,21162.76,473.8,0.0,21636.56
demo_business_001,2024-09-07,21636.56,655.65,3816.89,18475.32
demo_business_001,2024-09-08,18475.32,735.35,0.0,19210.67
demo_business_001,2024-09-09,19210.67,412.9,0.0,19623.57
demo_business_001,2024-09-10,19623.57,584.5,2633.65,17574.42
demo_business_001,2024-09-11,17574.42,404.4,0.0,17978.82
demo_business_001,2024-09-12,17978.82,578.8,0.0,18557.62
demo_business_001,2024-09-13,18557.62,625.5,0.0,19183.12
demo_business_001,2024-09-14,19183.12,571.05,0.0,19754.17
demo_business_001,2024-09-15,19754.17,632.15,0.0,20386.32
demo_business_001,2024-09-16,20386.32,505.55,0.0,20891.87
demo_business_001,2024-09-17,20891.87,402.45,0.0,21294.32
demo_business_001,2024-09-18,21294.32,397.1,0.0,21691.42
demo_business_001,2024-09-19,21691.42,358.15,0.0,22049.57
demo_business_001,2024-09-20,22049.57,663.05,0.0,22712.62
demo_business_001,2024-09-21,22712.62,608.45,3830.02,19491.05
demo_business_001,2024-09-22,19491.05,588.0,0.0,20079.05
demo_business_001,2024-09-23,20079.05,429.7,0.0,20508.75
demo_business_001,2024-09-24,20508.75,474.95,2604.37,18379.33
demo_business_001,2024-09-25,18379.33,429.6,0.0,18808.93
demo_business_001,2024-09-26,18808.93,476.6,0.0,19285.53
demo_business_001,2024-09-27,19285.53,577.65,0.0,19863.18
demo_business_001,2024-09-28,19863.18,876.5,0.0,20739.68
demo_business_001,2024-09-29,20739.68,535.7,0.0,21275.38
demo_business_001,2024-09-30,21275.38,479.15,0.0,21754.53
demo_business_001,2024-10-01,21754.53,516.45,4230.0,18040.98
demo_business_001,2024-10-02,18040.98,467.95,0.0,18508.93
demo_business_001,2024-10-03,18508.93,359.6,0.0,18868.53
demo_business_001,2024-10-04,18868.53,414.85,0.0,19283.38
demo_business_001,2024-10-05,19283.38,619.65,3843.16,16059.87
demo_business_001,2024-10-06,16059.87,605.65,0.0,16665.52
demo_business_001,2024-10-07,16665.52,358.65,0.0,17024.17
demo_business_001,2024-10-08,17024.17,302.35,2663.41,14663.11
demo_business_001,2024-10-09,14663.11,422.85,0.0,15085.96
demo_business_001,2024-10-10,15085.96,537.25,0.0,15623.21
demo_business_001,2024-10-11,15623.21,536.6,0.0,16159.81
demo_business_001,2024-10-12,16159.81,995.9,0.0,17155.71
demo_business_001,2024-10-13,17155.71,609.15,0.0,17764.86
demo_business_001,2024-10-14,17764.86,310.65,0.0,18075.51
demo_business_001,2024-10-15,18075.51,477.55,0.0,18553.06
demo_business_001,2024-10-16,18553.06,438.15,0.0,18991.21
demo_business_001,2024-10-17,18991.21,602.05,0.0,19593.26
demo_business_001,2024-10-18,19593.26,679.25,0.0,20272.51
demo_business_001,2024-10-19,20272.51,794.75,3856.3,17210.96
demo_business_001,2024-10-20,17210.96,594.35,0.0,17805.31
demo_business_001,2024-10-21,17805.31,416.85,0.0,18222.16
demo_business_001,2024-10-22,18222.16,505.3,2523.58,16203.88
demo_business_001,2024-10-23,16203.88,341.0,0.0,16544.88
demo_business_001,2024-10-24,16544.88,481.4,0.0,17026.28
demo_business_001,2024-10-25,17026.28,599.55,0.0,17625.83
demo_business_001,2024-10-26,17625.83,790.95,0.0,18416.78
demo_business_001,2024-10-27,18416.78,513.2,0.0,18929.98
demo_business_001,2024-10-28,18929.98,390.75,0.0,19320.73
demo_business_001,2024-10-29,19320.73,388.55,0.0,19709.28
demo_business_001,2024-10-30,19709.28,546.35,0.0,20255.63
demo_business_001,2024-10-31,20255.63,260.95,0.0,20516.58
demo_business_001,2024-11-01,20516.58,842.3,4230.0,17128.88
demo_business_001,2024-11-02,17128.88,810.2,3869.43,14069.65
demo_business_001,2024-11-03,14069.65,687.8,0.0,14757.45
demo_business_001,2024-11-04,14757.45,529.45,0.0,15286.9
demo_business_001,2024-11-05,15286.9,379.6,3279.21,12387.29
demo_business_001,2024-11-06,12387.29,496.0,0.0,12883.29
demo_business_001,2024-11-07,12883.29,584.15,0.0,13467.44
demo_business_001,2024-11-08,13467.44,634.65,0.0,14102.09
demo_business_001,2024-11-09,14102.09,997.7,0.0,15099.79
demo_business_001,2024-11-10,15099.79,627.6,0.0,15727.39
demo_business_001,2024-11-11,15727.39,386.4,0.0,16113.79
demo_business_001,2024-11-12,16113.79,528.2,0.0,16641.99
demo_business_001,2024-11-13,16641.99,2479.95,0.0,19121.94
demo_business_001,2024-11-14,19121.94,670.3,0.0,19792.24
demo_business_001,2024-11-15,19792.24,742.1,0.0,20534.34
demo_business_001,2024-11-16,20534.34,927.9,3882.57,17579.67
demo_business_001,2024-11-17,17579.67,588.95,0.0,18168.62
demo_business_001,2024-11-18,18168.62,602.55,0.0,18771.17
demo_business_001,2024-11-19,18771.17,505.8,3340.97,15936.0
demo_business_001,2024-11-20,15936.0,588.45,0.0,16524.45
demo_business_001,2024-11-21,16524.45,620.3,0.0,17144.75
demo_business_001,2024-11-22,17144.75,736.85,0.0,17881.6
demo_business_001,2024-11-23,17881.6,911.1,0.0,18792.7
demo_business_001,2024-11-24,18792.7,642.0,0.0,19434.7
demo_business_001,2024-11-25,19434.7,369.1,0.0,19803.8
demo_business_001,2024-11-26,19803.8,426.5,0.0,20230.3
demo_business_001,2024-11-27,20230.3,990.35,0.0,21220.65
demo_business_001,2024-11-28,21220.65,477.15,0.0,21697.8
demo_business_001,2024-11-29,21697.8,711.0,0.0,22408.8
demo_business_001,2024-11-30,22408.8,973.55,3895.7,19486.65
demo_business_001,2024-12-01,19486.65,1066.05,4287.0,16265.7
demo_business_001,2024-12-02,16265.7,710.05,0.0,16975.75
demo_business_001,2024-12-03,16975.75,518.65,3716.33,13778.07
demo_business_001,2024-12-04,13778.07,622.15,0.0,14400.22
demo_business_001,2024-12-05,14400.22,666.15,0.0,15066.37
demo_business_001,2024-12-06,15066.37,983.35,0.0,16049.72
demo_business_001,2024-12-07,16049.72,989.9,0.0,17039.62
demo_business_001,2024-12-08,17039.62,735.95,0.0,17775.57
demo_business_001,2024-12-09,17775.57,651.0,0.0,18426.57
demo_business_001,2024-12-10,18426.57,1491.9,0.0,19918.47
demo_business_001,2024-12-11,19918.47,604.25,0.0,20522.72
demo_business_001,2024-12-12,20522.72,753.6,0.0,21276.32
demo_business_001,2024-12-13,21276.32,678.45,0.0,21954.77
demo_business_001,2024-12-14,21954.77,760.85,3908.84,18806.78
demo_business_001,2024-12-15,18806.78,837.25,0.0,19644.03
demo_business_001,2024-12-16,19644.03,700.2,0.0,20344.23
demo_business_001,2024-12-17,20344.23,822.25,3433.86,17732.62
demo_business_001,2024-12-18,17732.62,508.75,0.0,18241.37
demo_business_001,2024-12-19,18241.37,715.3,0.0,18956.67
demo_business_001,2024-12-20,18956.67,711.95,0.0,19668.62
demo_business_001,2024-12-21,19668.62,811.25,0.0,20479.87
demo_business_001,2024-12-22,20479.87,740.25,0.0,21220.12
demo_business_001,2024-12-23,21220.12,392.5,0.0,21612.62
demo_business_001,2024-12-24,21612.62,540.0,0.0,22152.62
demo_business_001,2024-12-25,22152.62,513.95,0.0,22666.57
demo_business_001,2024-12-26,22666.57,1245.3,0.0,23911.87
demo_business_001,2024-12-27,23911.87,671.45,0.0,24583.32
demo_business_001,2024-12-28,24583.32,916.8,3921.98,21578.14
demo_business_001,2024-12-29,21578.14,895.05,0.0,22473.19
demo_business_001,2024-12-30,22473.19,392.1,0.0,22865.29
demo_business_001,2024-12-31,22865.29,523.7,3736.04,19652.95
demo_business_001,2025-01-01,19652.95,294.45,4287.0,15660.4
demo_business_001,2025-01-02,15660.4,378.55,0.0,16038.95
demo_business_001,2025-01-03,16038.95,436.75,0.0,16475.7
demo_business_001,2025-01-04,16475.7,550.55,0.0,17026.25
demo_business_001,2025-01-05,17026.25,403.5,0.0,17429.75
