tenant_id,transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,total_amount,payment_method,channel
demo_business_001,T0000001,2024-08-20,C000,P007,1,3.5,3.5,card,retail
demo_business_001,T0000026,2024-08-20,C000,P010,1,7.5,7.5,card,retail
demo_business_001,T0000027,2024-08-20,C000,P013,1,18.0,18.0,card,retail
demo_business_001,T0000028,2024-08-20,C000,P005,1,5.25,5.25,card,retail
demo_business_001,T0000029,2024-08-20,C000,P016,1,25.0,25.0,card,retail
demo_business_001,T0000030,2024-08-20,C000,P014,1,12.0,12.0,card,retail
demo_business_001,T0000031,2024-08-20,C000,P007,1,3.5,3.5,cash,retail
demo_business_001,T0000032,2024-08-20,C000,P011,1,6.95,6.95,card,retail
demo_business_001,T0000033,2024-08-20,C000,P007,1,3.5,3.5,card,retail
demo_business_001,T0000034,2024-08-20,C000,P014,1,12.0,12.0,cash,retail
demo_business_001,T0000025,2024-08-20,C000,P014,1,12.0,12.0,cash,retail
demo_business_001,T0000036,2024-08-20,C000,P008,1,3.25,3.25,cash,retail
demo_business_001,T0000038,2024-08-20,C000,P008,1,3.25,3.25,card,retail
demo_business_001,T0000039,2024-08-20,C000,P016,1,25.0,25.0,mobile_wallet,retail
demo_business_001,T0000040,2024-08-20,C000,P002,2,4.5,9.0,cash,retail
demo_business_001,T0000041,2024-08-20,C000,P008,3,3.25,9.75,cash,retail
demo_business_001,T0000042,2024-08-20,C000,P005,1,5.25,5.25,card,retail
demo_business_001,T0000043,2024-08-20,C000,P012,1,14.0,14.0,mobile_wallet,retail
demo_business_001,T0000044,2024-08-20,C000,P005,1,5.25,5.25,card,retail
demo_business_001,T0000045,2024-08-20,C000,P012,1,14.0,14.0,card,retail
demo_business_001,T0000046,2024-08-20,C000,P005,2,5.25,10.5,cash,retail
demo_business_001,T0000037,2024-08-20,C000,P008,1,3.25,3.25,card,retail
demo_business_001,T0000024,2024-08-20,C000,P010,1,7.5,7.5,card,retail
demo_business_001,T0000035,2024-08-20,C000,P012,1,14.0,14.0,card,retail
demo_business_001,T0000022,2024-08-20,C000,P013,1,18.0,18.0,card,retail
demo_business_001,T0000023,2024-08-20,C000,P009,1,3.0,3.0,card,retail
demo_business_001,T0000002,2024-08-20,C000,P014,3,12.0,36.0,cash,retail
demo_business_001,T0000003,2024-08-20,C000,P012,1,14.0,14.0,card,retail
demo_business_001,T0000004,2024-08-20,C000,P013,1,18.0,18.0,mobile_wallet,retail
demo_business_001,T0000005,2024-08-20,C000,P013,2,18.0,36.0,card,retail
demo_business_001,T0000006,2024-08-20,C000,P011,1,6.95,6.95,card,retail
demo_business_001,T0000007,2024-08-20,C000,P015,2,15.0,30.0,cash,retail
demo_business_001,T0000009,2024-08-20,C000,P002,2,4.5,9.0,cash,retail
demo_business_001,T0000010,2024-08-20,C000,P016,1,25.0,25.0,card,retail
demo_business_001,T0000011,2024-08-20,C000,P008,1,3.25,3.25,cash,retail
demo_business_001,T0000008,2024-08-20,C000,P002,1,4.5,4.5,card,retail
demo_business_001,T0000020,2024-08-20,C000,P005,1,5.25,5.25,card,retail
demo_business_001,T0000013,2024-08-20,C000,P007,1,3.5,3.5,card,retail
demo_business_001,T0000014,2024-08-20,C000,P006,1,3.75,3.75,card,retail
demo_business_001,T0000015,2024-08-20,C000,P011,1,6.95,6.95,cash,retail
demo_business_001,T0000016,2024-08-20,C000,P008,1,3.25,3.25,mobile_wallet,retail
demo_business_001,T0000017,2024-08-20,C000,P011,1,6.95,6.95,mobile_wallet,retail
demo_business_001,T0000018,2024-08-20,C000,P012,2,14.0,28.0,card,retail
demo_business_001,T0000019,2024-08-20,C000,P015,1,15.0,15.0,card,retail
demo_business_001,T0000012,2024-08-20,C000,P001,1,3.25,3.25,mobile_wallet,retail
demo_business_001,T0000021,2024-08-20,C000,P013,1,18.0,18.0,cash,retail
demo_business_001,T0000080,2024-08-21,C000,P005,1,5.25,5.25,card,retail
demo_business_001,T0000079,2024-08-21,C000,P005,1,5.25,5.25,mobile_wallet,retail
demo_business_001,T0000078,2024-08-21,C000,P003,2,4.75,9.5,card,retail
